R_3nqIbIbz6QI0s3j,block,trial,cond,cat,resp,err,rt,fb
,4,51,White people,White people,Pleasant,0,491,
,4,52,Black people,Black people,Pleasant,0,466,
,4,53,Black people,Black people,Unpleasant,1,354,
,4,54,White people,White people,Pleasant,0,426,
,4,55,White people,White people,Unpleasant,1,329,
,4,56,Black people,Black people,Pleasant,0,670,
,4,57,Black people,Black people,Pleasant,0,788,
,4,58,White people,White people,Pleasant,0,629,
,4,59,Black people,Black people,Pleasant,0,638,
,4,60,White people,White people,Unpleasant,1,464,
,4,61,White people,White people,Pleasant,0,534,
,4,62,Black people,Black people,Pleasant,0,430,
,4,63,White people,White people,Pleasant,0,482,
,4,64,Black people,Black people,Pleasant,0,493,
,0,65,instructions,dummyForLog,space,0,1453,
,9,999,end,,,,,After White people: 28 of your responses were Pleasant; 2 of your responses were Unpleasant; <br/>After Black people: 8 of your responses were Unpleasant; 22 of your responses were Pleasant; <br/>
